rank,band,headword,family_size,word_family
197,B1 (1-1000),hand,4,hands | handed | handing
198,B1 (1-1000),state,4,states | stated | stating
199,B1 (1-1000),move,4,moves | moved | moving
200,B1 (1-1000),money,2,moneys
201,B1 (1-1000),fact,2,facts
202,B1 (1-1000),however,1,
203,B1 (1-1000),area,2,areas
204,B1 (1-1000),provide,4,provides | provided | providing
205,B1 (1-1000),name,4,names | named | naming
206,B1 (1-1000),read,4,reads | reading | readings
207,B1 (1-1000),friend,2,friends
208,B1 (1-1000),month,2,months
209,B1 (1-1000),large,3,larger | largest
210,B1 (1-1000),business,2,businesses
211,B1 (1-1000),without,1,
212,B1 (1-1000),information,1,
213,B1 (1-1000),open,5,opens | opened | opening | openings
214,B1 (1-1000),order,4,orders | ordered | ordering
215,B1 (1-1000),government,2,governments
216,B1 (1-1000),word,5,words | worded | wording | wordings
217,B1 (1-1000),issue,4,issues | issued | issuing
218,B1 (1-1000),market,4,markets | marketed | marketing
219,B1 (1-1000),pay,4,pays | paid | paying
220,B1 (1-1000),build,5,builds | building | buildings | built
221,B1 (1-1000),hold,5,holds | held | holding | holdings
222,B1 (1-1000),service,4,services | serviced | servicing
223,B1 (1-1000),against,1,
224,B1 (1-1000),believe,4,believes | believed | believing
225,B1 (1-1000),second,5,seconds | seconded | seconding | sec
226,B1 (1-1000),though,1,
227,B1 (1-1000),yes,2,yeses
228,B1 (1-1000),love,4,loves | loved | loving
229,B1 (1-1000),increase,4,increases | increased | increasing
230,B1 (1-1000),job,3,jobs | jobbing
231,B1 (1-1000),plan,4,plans | planned | planning
232,B1 (1-1000),result,4,results | resulted | resulting
233,B1 (1-1000),away,1,
234,B1 (1-1000),example,2,examples
235,B1 (1-1000),happen,5,happens | happened | happening | happenings
236,B1 (1-1000),offer,5,offers | offered | offering | offerings
237,B1 (1-1000),young,3,younger | youngest
238,B1 (1-1000),close,6,closes | closed | closing | closer | closest
239,B1 (1-1000),program,8,programs | programmed | programming | programme | programmes | programed | programing
240,B1 (1-1000),lead,4,leads | led | leading
241,B1 (1-1000),buy,4,buys | bought | buying
242,B1 (1-1000),understand,5,understands | understood | understanding | understandings
243,B1 (1-1000),thank,4,thanks | thanked | thanking
244,B1 (1-1000),far,3,farther | farthest
245,B1 (1-1000),today,1,
246,B1 (1-1000),hour,2,hours
247,B1 (1-1000),student,2,students
248,B1 (1-1000),face,4,faces | faced | facing
249,B1 (1-1000),hope,4,hopes | hoped | hoping
250,B1 (1-1000),idea,2,ideas
251,B1 (1-1000),cost,3,costs | costing
252,B1 (1-1000),less,1,
253,B1 (1-1000),room,4,rooms | roomed | rooming
254,B1 (1-1000),until,2,til
255,B1 (1-1000),reason,4,reasons | reasoned | reasoning
256,B1 (1-1000),form,4,forms | formed | forming
257,B1 (1-1000),spend,4,spends | spending | spent
258,B1 (1-1000),head,5,heads | headed | heading | headings
259,B1 (1-1000),car,2,cars
260,B1 (1-1000),learn,5,learns | learned | learning | learnt
261,B1 (1-1000),level,6,levels | leveled | leveling | levelled | levelling
262,B1 (1-1000),person,2,persons
263,B1 (1-1000),experience,4,experiences | experienced | experiencing
264,B1 (1-1000),once,1,
265,B1 (1-1000),member,2,members
266,B1 (1-1000),enough,1,
267,B1 (1-1000),bad,4,worse | worst | baddest
268,B1 (1-1000),city,2,cities
269,B1 (1-1000),night,2,nights
270,B1 (1-1000),able,3,abler | ablest
271,B1 (1-1000),support,4,supports | supported | supporting
272,B1 (1-1000),whether,1,
273,B1 (1-1000),line,4,lines | lined | lining
274,B1 (1-1000),present,4,presents | presented | presenting
